firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_year
Geoffrey,Wilkinson,GB,GB,MALE,1973.0,chemistry,2.0,Imperial College,London,United Kingdom,1921.0
Paul J.,Flory,US,US,male,1974.0,chemistry,1.0,Stanford University,Stanford CA,USA,1910.0
John,Cornforth,AU,,MALE,1975.0,chemistry,2.0,University of Sussex,Brighton,United Kingdom,1917.0
Vladimir,Prelog,BA,CH,MALE,1975.0,chemistry,2.0,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1906.0
William,Lipscomb,US,US,male,1976.0,chemistry,1.0,Harvard University,Cambridge MA,USA,1919.0
Ilya,Prigogine,RU,BE,MALE,1977.0,chemistry,1.0,Université Libre de Bruxelles,Brussels,Belgium,1917.0
Peter,Mitchell,GB,GB,male,1978.0,chemistry,1.0,Glynn Research Laboratories,Bodmin,United Kingdom,1920.0
Herbert C.,Brown,GB,US,male,1979.0,chemistry,2.0,Purdue University,West Lafayette IN,USA,1912.0
Georg,Wittig,DE,DE,male,1979.0,chemistry,2.0,University of Heidelberg,Heidelberg,Germany,1897.0
Paul,Berg,US,,Male,1980.0,chemistry,2.0,Stanford University,Stanford CA,USA,1926.0
Walter,Gilbert,US,,male,1980.0,chemistry,4.0,Harvard University Biological Laboratories,Cambridge MA,USA,1932.0
