id,country,year,sex
850,Antigua and Barbuda,1994.0,male
851,Antigua and Barbuda,1994.0,male
852,Antigua and Barbuda,1994.0,male
853,Antigua and Barbuda,1994.0,male
854,Antigua and Barbuda,1995.0,female
855,Antigua and Barbuda,1995.0,female
856,Antigua and Barbuda,1995.0,female
857,Antigua and Barbuda,1995.0,female
858,Antigua and Barbuda,1995.0,female
859,Antigua and Barbuda,1995.0,female
860,Antigua and Barbuda,1995.0,male
861,Antigua and Barbuda,1995.0,male
862,Antigua and Barbuda,1995.0,male
863,Antigua and Barbuda,1995.0,male
864,Antigua and Barbuda,1995.0,male
865,Antigua and Barbuda,1995.0,male
866,Antigua and Barbuda,1998.0,female
867,Antigua and Barbuda,1998.0,female
868,Antigua and Barbuda,1998.0,female
869,Antigua and Barbuda,1998.0,female
870,Antigua and Barbuda,1998.0,female
871,Antigua and Barbuda,1998.0,female
872,Antigua and Barbuda,1998.0,male
873,Antigua and Barbuda,1998.0,male
874,Antigua and Barbuda,1998.0,male
875,Antigua and Barbuda,1998.0,male
876,Antigua and Barbuda,1998.0,male
877,Antigua and Barbuda,1998.0,male
878,Antigua and Barbuda,1999.0,female
879,Antigua and Barbuda,1999.0,female
880,Antigua and Barbuda,1999.0,female
881,Antigua and Barbuda,1999.0,female
882,Antigua and Barbuda,1999.0,female
883,Antigua and Barbuda,1999.0,female
884,Antigua and Barbuda,1999.0,male
885,Antigua and Barbuda,1999.0,male
886,Antigua and Barbuda,1999.0,male
887,Antigua and Barbuda,1999.0,male
888,Antigua and Barbuda,1999.0,male
889,Antigua and Barbuda,1999.0,male
890,Antigua and Barbuda,2000.0,female
891,Antigua and Barbuda,2000.0,female
892,Antigua and Barbuda,2000.0,female
893,Antigua and Barbuda,2000.0,female
894,Antigua and Barbuda,2000.0,female
895,Antigua and Barbuda,2000.0,female
896,Antigua and Barbuda,2000.0,male
897,Antigua and Barbuda,2000.0,male
898,Antigua and Barbuda,2000.0,male
899,Antigua and Barbuda,2000.0,male
900,Antigua and Barbuda,2000.0,male
901,Antigua and Barbuda,2000.0,male
902,Antigua and Barbuda,2001.0,female
903,Antigua and Barbuda,2001.0,female
904,Antigua and Barbuda,2001.0,female
905,Antigua and Barbuda,2001.0,female
906,Antigua and Barbuda,2001.0,female
907,Antigua and Barbuda,2001.0,female
908,Antigua and Barbuda,2001.0,male
909,Antigua and Barbuda,2001.0,male
910,Antigua and Barbuda,2001.0,male
911,Antigua and Barbuda,2001.0,male
