id,age,suicides_no,population
20736,25-34 years,0.0,205376.0
20737,35-54 years,0.0,335304.0
20738,5-14 years,0.0,276574.0
20739,55-74 years,0.0,149156.0
20740,75+ years,0.0,58027.0
20741,15-24 years,0.0,256580.0
20742,25-34 years,0.0,195463.0
20743,35-54 years,0.0,309578.0
20744,5-14 years,0.0,289268.0
20745,55-74 years,0.0,142398.0
20746,75+ years,0.0,46494.0
20747,15-24 years,1.0,257363.0
20748,25-34 years,1.0,211928.0
20749,35-54 years,0.0,343173.0
20750,5-14 years,0.0,264297.0
20751,55-74 years,1.0,159111.0
20752,75+ years,0.0,61282.0
20753,15-24 years,5.0,268270.0
20754,25-34 years,9.0,199372.0
20755,35-54 years,9.0,324231.0
20756,5-14 years,1.0,276734.0
20757,55-74 years,6.0,155268.0
20758,75+ years,3.0,47854.0
20759,15-24 years,0.0,260373.0
20760,25-34 years,0.0,215163.0
20761,35-54 years,0.0,345682.0
20762,5-14 years,0.0,258271.0
20763,55-74 years,0.0,163081.0
20764,75+ years,0.0,62329.0
20765,15-24 years,0.0,271743.0
20766,25-34 years,1.0,202735.0
20767,35-54 years,1.0,328839.0
20768,5-14 years,1.0,270432.0
20769,55-74 years,0.0,159798.0
20770,75+ years,0.0,48206.0
20771,15-24 years,1.0,262579.0
20772,25-34 years,0.0,218242.0
20773,35-54 years,1.0,346487.0
20774,5-14 years,3.0,252024.0
20775,55-74 years,1.0,168398.0
20776,75+ years,0.0,63432.0
20777,15-24 years,5.0,274128.0
20778,25-34 years,7.0,206750.0
20779,35-54 years,14.0,331288.0
20780,5-14 years,3.0,263900.0
20781,55-74 years,11.0,164711.0
20782,75+ years,4.0,49098.0
20783,15-24 years,767.0,7891900.0
20784,25-34 years,1189.0,9794700.0
20785,35-54 years,2269.0,16431900.0
20786,5-14 years,28.0,9162300.0
20787,55-74 years,2369.0,9241900.0
20788,75+ years,1331.0,2120600.0
20789,15-24 years,1608.0,8175900.0
20790,25-34 years,2564.0,9863400.0
20791,35-54 years,4938.0,16287500.0
20792,5-14 years,66.0,9636600.0
20793,55-74 years,2519.0,7276300.0
20794,75+ years,1063.0,1385500.0
20795,15-24 years,646.0,7929400.0
20796,25-34 years,1120.0,9846100.0
20797,35-54 years,2263.0,16495700.0
20798,35-54 years,2263.0,16495700.0
20799,5-14 years,14.0,9254300.0
20800,55-74 years,2384.0,9547700.0
20801,75+ years,1332.0,2221300.0
20802,15-24 years,1354.0,8183800.0
20803,25-34 years,2489.0,9967000.0
20804,35-54 years,5044.0,16333800.0
20805,5-14 years,41.0,9737300.0
20806,55-74 years,2679.0,7518700.0
20807,75+ years,1050.0,1438400.0
20808,15-24 years,495.0,7841100.0
20809,25-34 years,1109.0,9915500.0
20810,35-54 years,2166.0,16494400.0
20811,5-14 years,25.0,9446800.0
20812,55-74 years,2318.0,9880200.0
20813,75+ years,1264.0,2305700.0
20814,15-24 years,1196.0,8121000.0
20815,25-34 years,2338.0,10038800.0
20816,35-54 years,5198.0,16363000.0
20817,5-14 years,62.0,9946600.0
20818,55-74 years,2816.0,7833300.0
20819,75+ years,989.0,1488300.0
20820,15-24 years,519.0,7992200.0
20821,25-34 years,1037.0,9517500.0
20822,35-54 years,2273.0,16891300.0
20823,5-14 years,22.0,9393700.0
20824,55-74 years,2273.0,10178300.0
20825,75+ years,1326.0,2437600.0
20826,15-24 years,1202.0,8303200.0
20827,25-34 years,2319.0,9629800.0
20828,35-54 years,5654.0,16791300.0
20829,5-14 years,54.0,9889900.0
20830,55-74 years,2778.0,8131000.0
20831,75+ years,1078.0,1567100.0
20832,15-24 years,576.0,8060000.0
20833,25-34 years,996.0,9021000.0
20834,35-54 years,2464.0,17253000.0
20835,5-14 years,27.0,9262000.0
20836,55-74 years,2511.0,10438000.0
20837,75+ years,1516.0,2563000.0
20838,15-24 years,1359.0,8400000.0
20839,25-34 years,2604.0,9130000.0
20840,35-54 years,7695.0,17160000.0
20841,5-14 years,65.0,9748000.0
20842,55-74 years,3690.0,8397000.0
20843,75+ years,1350.0,1638000.0
20844,15-24 years,519.0,8187000.0
20845,25-34 years,942.0,8603000.0
20846,35-54 years,2491.0,17680000.0
20847,5-14 years,23.0,9136000.0
20848,55-74 years,2556.0,10728000.0
20849,75+ years,1543.0,2710000.0
20850,15-24 years,1202.0,8552000.0
20851,25-34 years,2264.0,8714000.0
20852,35-54 years,7461.0,17595000.0
20853,5-14 years,44.0,9615000.0
20854,55-74 years,3819.0,8714000.0
20855,75+ years,1357.0,1716000.0
20856,15-24 years,491.0,8366600.0
20857,25-34 years,817.0,8321600.0
20858,35-54 years,2582.0,17953700.0
20859,5-14 years,26.0,9041200.0
20860,55-74 years,2543.0,11024900.0
20861,75+ years,1553.0,2862400.0
20862,15-24 years,1139.0,8728500.0
20863,25-34 years,1982.0,8465800.0
20864,35-54 years,6962.0,17833300.0
20865,5-14 years,59.0,9423300.0
20866,55-74 years,3763.0,8996900.0
20867,75+ years,1340.0,1791000.0
20868,15-24 years,680.0,8548000.0
20869,25-34 years,936.0,8051000.0
20870,35-54 years,2787.0,18183000.0
20871,5-14 years,53.0,8777000.0
20872,55-74 years,2877.0,11355000.0
20873,75+ years,1801.0,3049000.0
20874,15-24 years,1263.0,8931000.0
20875,25-34 years,2057.0,8197000.0
20876,35-54 years,7298.0,18094000.0
20877,5-14 years,73.0,9231000.0
20878,55-74 years,4171.0,9374000.0
20879,75+ years,1488.0,1889000.0
20880,15-24 years,569.0,8757000.0
20881,25-34 years,782.0,7874000.0
20882,35-54 years,2496.0,18301000.0
20883,5-14 years,17.0,8523000.0
20884,55-74 years,2938.0,11656000.0
20885,75+ years,1718.0,3230000.0
20886,15-24 years,1065.0,9167000.0
20887,25-34 years,1904.0,8031000.0
20888,35-54 years,6688.0,18218000.0
20889,5-14 years,52.0,8959000.0
20890,55-74 years,3988.0,9718000.0
20891,75+ years,1446.0,1982000.0
20892,15-24 years,583.0,8959000.0
20893,25-34 years,721.0,7769000.0
20894,35-54 years,2438.0,18354000.0
20895,5-14 years,30.0,8248000.0
20896,55-74 years,2853.0,11962000.0
20897,75+ years,1865.0,3398000.0
20898,15-24 years,973.0,9391000.0
20899,25-34 years,1736.0,7938000.0
20900,35-54 years,6087.0,18287000.0
20901,5-14 years,49.0,8669000.0
20902,55-74 years,3851.0,10062000.0
20903,75+ years,1490.0,2064000.0
20904,15-24 years,479.0,9119000.0
20905,25-34 years,725.0,7749000.0
20906,35-54 years,2306.0,18362000.0
20907,5-14 years,27.0,7980000.0
20908,55-74 years,2786.0,12244000.0
20909,75+ years,1844.0,3577000.0
20910,15-24 years,928.0,9573000.0
20911,25-34 years,1582.0,7931000.0
20912,35-54 years,5161.0,18310000.0
20913,5-14 years,36.0,8384000.0
20914,55-74 years,3676.0,10384000.0
20915,75+ years,1463.0,2153000.0
